Design Name,Backend Phase,Corner1,Power1,Corner2,Power2,Corner3,Power3
VexiiRiscv_740,placement,Fast,69195000.0,Slow,46944000.0,Typical,56976000.0
VexiiRiscv_740,chipfinish,Fast,1589600.0,Slow,767730.0,Typical,1072700.0
VexiiRiscv_740,route,Fast,1589200.0,Slow,767630.0,Typical,1072500.0
VexiiRiscv_740,floorplan,Fast,69190000.0,Slow,46115000.0,Typical,56967000.0
VexiiRiscv_131,cts,Fast,853820.0,Slow,485640.0,Typical,629040.0
VexiiRiscv_131,placement,Fast,68719000.0,Slow,46695000.0,Typical,56687000.0
VexiiRiscv_131,chipfinish,Fast,865370.0,Slow,491790.0,Typical,638250.0
VexiiRiscv_131,route,Fast,865230.0,Slow,491730.0,Typical,638160.0
VexiiRiscv_131,floorplan,Fast,68708000.0,Slow,45923000.0,Typical,56678000.0
VexiiRiscv_511,cts,Fast,7169200.0,Slow,2462500.0,Typical,4422700.0
VexiiRiscv_511,placement,Fast,72676000.0,Slow,49210000.0,Typical,58865000.0
VexiiRiscv_511,chipfinish,Fast,8057800.0,Slow,2692900.0,Typical,4937600.0
VexiiRiscv_511,route,Fast,8055500.0,Slow,2692400.0,Typical,4936500.0
VexiiRiscv_511,floorplan,Fast,79484000.0,Slow,46898000.0,Typical,60360000.0
VexiiRiscv_414,cts,Fast,884380.0,Slow,421170.0,Typical,588080.0
VexiiRiscv_414,placement,Fast,68674000.0,Slow,46683000.0,Typical,56655000.0
VexiiRiscv_414,chipfinish,Fast,897050.0,Slow,428460.0,Typical,599000.0
VexiiRiscv_414,route,Fast,896810.0,Slow,428380.0,Typical,598860.0
VexiiRiscv_414,floorplan,Fast,68820000.0,Slow,45870000.0,Typical,56666000.0
VexiiRiscv_1016,cts,Fast,8322500.0,Slow,2872600.0,Typical,5168800.0
VexiiRiscv_1016,placement,Fast,74067000.0,Slow,49885000.0,Typical,59637000.0
VexiiRiscv_1016,chipfinish,Fast,9250700.0,Slow,3127400.0,Typical,5738000.0
VexiiRiscv_1016,route,Fast,9246500.0,Slow,3126500.0,Typical,5736000.0
VexiiRiscv_1016,floorplan,Fast,1436800000.0,Slow,109050000.0,Typical,431650000.0
VexiiRiscv_910,cts,Fast,864370.0,Slow,463810.0,Typical,608530.0
VexiiRiscv_910,placement,Fast,68676000.0,Slow,46670000.0,Typical,56662000.0
VexiiRiscv_910,chipfinish,Fast,863370.0,Slow,467560.0,Typical,612590.0
VexiiRiscv_910,route,Fast,863170.0,Slow,467480.0,Typical,612470.0
