File Path,Corner1,Power1,Corner2,Power2,Corner3,Power3
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_754_100/VexiiRiscv_754_100_build/rpt/route.report_power,Fast,1.0714e+07,Slow,3.7640e+06,Typical,6.7053e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_754_100/VexiiRiscv_754_100_build/rpt/floorplan.report_power,Fast,7.4467e+07,Slow,4.7490e+07,Typical,5.9859e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_132_100/VexiiRiscv_132_100_build/rpt/cts.report_power,Fast,2.9534e+06,Slow,1.1795e+06,Typical,1.9005e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_132_100/VexiiRiscv_132_100_build/rpt/placement.report_power,Fast,7.0291e+07,Slow,4.7766e+07,Typical,5.7530e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_132_100/VexiiRiscv_132_100_build/rpt/chipfinish.report_power,Fast,3.2546e+06,Slow,1.2835e+06,Typical,2.0981e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_132_100/VexiiRiscv_132_100_build/rpt/route.report_power,Fast,3.2540e+06,Slow,1.2834e+06,Typical,2.0978e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_132_100/VexiiRiscv_132_100_build/rpt/floorplan.report_power,Fast,7.1105e+07,Slow,4.6286e+07,Typical,5.7716e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_302_100/VexiiRiscv_302_100_build/rpt/cts.report_power,Fast,1.3543e+06,Slow,6.2417e+05,Typical,8.6812e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_302_100/VexiiRiscv_302_100_build/rpt/placement.report_power,Fast,6.9016e+07,Slow,4.6837e+07,Typical,5.6875e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_302_100/VexiiRiscv_302_100_build/rpt/chipfinish.report_power,Fast,1.3647e+06,Slow,6.3300e+05,Typical,8.8048e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_302_100/VexiiRiscv_302_100_build/rpt/route.report_power,Fast,1.3645e+06,Slow,6.3294e+05,Typical,8.8038e+05
